show_id;type;title;cast_in;country;release_year;rating;duration;listed_in;date_added
1794;Movie;Sarah Cooper: Everything's Fine;Sarah Cooper, Fred Armisen, Maya Rudolph;United States;2020;TV-MA;50 min;Comedies;27.10.2020
1795;TV Show;The Devil Punisher;Mike He, Ivy Shao, Anson Chen;Taiwan;2020;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Mysteries;26.10.2020
1796;Movie;Ajab Prem Ki Ghazab Kahani;Ranbir Kapoor, Katrina Kaif, Govind Namdeo;India;2009;TV-14;150 min;Comedies, International Movies, Music & Musicals;25.10.2020
1797;Movie;Black '47;Hugo Weaving, James Frecheville, Stephen Rea;Ireland;2018;R;100 min;Action & Adventure, Dramas, Independent Movies;24.10.2020
1798;Movie;I Am Woman;Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters;Australia;2019;TV-MA;117 min;Dramas, Music & Musicals;24.10.2020
1799;Movie;Alice Junior;Anne Celestino Mota, Emmanuel Rosset, Matheus Moura;Brazil;2019;TV-MA;87 min;Comedies, International Movies, LGBTQ Movies;23.10.2020
1800;TV Show;Barbarians;Laurence Rupp, Jeanne Goursaud, David Schütter;Germany;2020;TV-MA;1 Season;International TV Shows, TV Action & Adventure, TV Dramas;23.10.2020
1802;Movie;Over the Moon;Cathy Ang, Phillipa Soo, Ken Jeong;China;2020;PG;100 min;Children & Family Movies, Music & Musicals;23.10.2020
1803;Movie;Shattered Memories;Elizabeth Bogush, Brad Schmidt, Sarah Lind;United States;2018;TV-14;86 min;Dramas, Thrillers;23.10.2020
1804;TV Show;Stolen Away;Daniel Grao, Carolina Lapausa, Melani Olivares;Spain;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;23.10.2020
706;Movie;Biking Borders;Max Jabs, Nono Konopka;Germany;2019;TV-14;89 min;Documentaries, International Movies, Sports Movies;16.06.2021
723;Movie;Sir! No Sir!;Troy Garity;United States;2005;TV-MA;84 min;Documentaries;15.06.2021
724;TV Show;The American Bible Challenge;Jeff Foxworthy;United States;2014;TV-G;1 Season;Reality TV;15.06.2021
725;Movie;The Reason I Jump;NULL;United States;2021;TV-14;82 min;Documentaries;15.06.2021
728;Movie;Picture a Scientist;NULL;United States;2020;TV-MA;97 min;Documentaries;13.06.2021
29;Movie;Dark Skies;Keri Russell, Josh Hamilton, J.K. Simmons;United States;2013;PG-13;97 min;Horror Movies, Sci-Fi & Fantasy;19.09.2021
1805;TV Show;The Queen's Gambit;Anya Taylor-Joy, Bill Camp, Marielle Heller;United States;2020;TV-MA;1 Season;TV Dramas;23.10.2020
1807;Movie;Cadaver;Gitte Witt, Thomas Gullestad, Thorbjørn Harr;Norway;2020;TV-MA;87 min;Horror Movies, International Movies;22.10.2020
1809;Movie;Fisherman's Friends;Daniel Mays, James Purefoy, David Hayman;United Kingdom;2019;PG-13;112 min;Comedies, Dramas, Music & Musicals;22.10.2020
1810;Movie;The Hows of Us;Kathryn Bernardo, Daniel Padilla, Darren Espanto;Philippines;2018;TV-14;120 min;Dramas, International Movies, Romantic Movies;22.10.2020
1811;Movie;The Hummingbird Project;Jesse Eisenberg, Alexander Skarsgård, Salma Hayek;Canada;2018;R;111 min;Dramas, Independent Movies;22.10.2020
1812;Movie;Yes, God, Yes;Natalia Dyer, Timothy Simons, Wolfgang Novogratz;United States;2020;R;78 min;Comedies, Dramas, Independent Movies;22.10.2020
1814;TV Show;My Next Guest Needs No Introduction With David Letterman;President Barack Obama, George Clooney, Malala Yousafzai;United States;2020;TV-MA;3 Seasons;Stand-Up Comedy & Talk Shows;21.10.2020
1815;Movie;Rebecca;Lily James, Armie Hammer, Kristin Scott Thomas;United Kingdom;2020;PG-13;123 min;Dramas, Romantic Movies, Thrillers;21.10.2020
1816;Movie;The Magic School Bus Rides Again The Frizz Connection;Kate McKinnon, Roman Lutterotti, Mikaela Blake;Canada;2020;TV-Y;46 min;Children & Family Movies;20.10.2020
1817;Movie;Tremors: Shrieker Island;Michael Gross, Jon Heder, Caroline Langrishe;United States;2020;PG-13;102 min;Action & Adventure, Horror Movies;20.10.2020
1818;Movie;Beirut Oh Beirut;Ezzat El Alaily, Mireille Maalouf, Joseph Bou Nassar;Lebanon;1975;TV-14;106 min;Classic Movies, Dramas, International Movies;19.10.2020
1819;Movie;Bosta;Rodney El Haddad, Nadine Labaky, Nada Abou Farhat;Lebanon;2005;TV-14;112 min;Dramas, International Movies, Music & Musicals;19.10.2020
1820;Movie;Ghadi;Georges Khabbaz, Lara Rain, Emmanuel Khairallah;Lebanon;2013;TV-MA;101 min;Comedies, Dramas, International Movies;19.10.2020
1823;Movie;Out of Life;Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity;France;1991;TV-MA;94 min;Classic Movies, Dramas, Independent Movies;19.10.2020
1825;Movie;Taxi Ballad;Talal El-Jordi, Karina Logue, Badih Abou Chakra;Lebanon;2012;TV-MA;81 min;Dramas, International Movies;19.10.2020
1826;Movie;The Kite;Flavia Bechara, Maher Bsaibes, Randa Asmar;Lebanon;2003;TV-MA;76 min;Dramas, International Movies, Romantic Movies;19.10.2020
1827;Movie;The Little Wars;Soraya Khoury, Nabil Ismaïl, Roger Hawa;France;1982;TV-14;108 min;Dramas, Independent Movies, International Movies;19.10.2020
1828;Movie;Under the Bombs;Nada Abou Farhat, Georges Khabbaz, Bshara Atallah;France;2007;TV-MA;94 min;Dramas, Independent Movies, International Movies;19.10.2020
1830;Movie;West Beirut;Rami Doueiri, Mohamad Chamas, Rola Al Amin;France;1999;TV-MA;106 min;Dramas, International Movies;19.10.2020
861;Movie;Hating Peter Tatchell;NULL;Australia;2020;TV-MA;91 min;Documentaries, International Movies, LGBTQ Movies;20.05.2021
1831;Movie;What Did I Mess;Rola Beksmati, Junaid Zeineldine, Abboudy Mallah;Lebanon;2018;TV-14;98 min;Comedies, International Movies, Romantic Movies;19.10.2020
1833;Movie;Zozo;Imad Creidi, Antoinette Turk, Elias Gergi;Sweden;2005;TV-MA;99 min;Dramas, International Movies;19.10.2020
1834;Movie;ParaNorman;Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick;United States;2012;PG;93 min;Children & Family Movies, Comedies;18.10.2020
1835;TV Show;Start-Up;Bae Suzy, Nam Joo-hyuk, Kim Seon-ho;South Korea;2020;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;18.10.2020
749;TV Show;Fresh, Fried & Crispy;NULL;United States;2021;TV-PG;1 Season;Reality TV;09.06.2021
750;TV Show;L.A.’s Finest;Jessica Alba, Gabrielle Union;United States;2021;TV-MA;2 Seasons;Crime TV Shows, TV Action & Adventure, TV Comedies;09.06.2021
756;Movie;Kitty Love: An Homage to Cats;Nicolette Kluijver;Netherlands;2021;TV-G;61 min;Children & Family Movies, Documentaries, International Movies;05.06.2021
758;Movie;Breaking Boundaries: The Science Of Our Planet;David Attenborough, Johan Rockström;United States;2021;TV-PG;74 min;Documentaries;04.06.2021
763;Movie;Sweet & Sour;Jang Ki-yong, Chae Soo-bin, Jung Soo-jung;South Korea;2021;TV-14;103 min;Comedies, International Movies, Romantic Movies;04.06.2021
770;Movie;From Stress to Happiness;NULL;Argentina;2020;TV-G;58 min;Documentaries, International Movies;03.06.2021
771;Movie;Myriam Fares: The Journey;Myriam Fares;United Arab Emirates;2021;TV-14;72 min;Documentaries, International Movies, Music & Musicals;03.06.2021
30;Movie;Paranoia;Liam Hemsworth, Gary Oldman, Amber Heard;United States;2013;PG-13;106 min;Thrillers;19.09.2021
1836;Movie;I Am Vengeance: Retaliation;Stu Bennett, Vinnie Jones, Mark Griffin;United Kingdom;2020;R;82 min;Action & Adventure;17.10.2020
1837;Movie;Disconnect;Brenda Wairimu, Nick Mutuma, Catherine Kamau;Kenya;2018;TV-MA;107 min;Comedies, International Movies, Romantic Movies;16.10.2020
1838;TV Show;Grand Army;Odessa A’zion, Odley Jean, Amir Bageria;United States;2020;TV-MA;1 Season;TV Dramas, Teen TV Shows;16.10.2020
1839;Movie;In a Valley of Violence;Ethan Hawke, John Travolta, Taissa Farmiga;United States;2016;R;104 min;Action & Adventure;16.10.2020
1840;TV Show;La Révolution;Amir El Kacem, Marilou Aussilloux, Lionel Erdogan;France;2020;TV-MA;1 Season;International TV Shows, TV Action & Adventure, TV Dramas;16.10.2020
1841;TV Show;Someone Has to Die;Carmen Maura, Cecilia Suárez, Ester Expósito;Mexico;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;16.10.2020
1842;TV Show;The Last Kids on Earth;Nick Wolfhard, Charles Demers, Garland Whitt;United States;2020;TV-Y7;3 Seasons;Kids' TV, TV Comedies;16.10.2020
1843;Movie;The Trial of the Chicago 7;Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II;United States;2020;R;130 min;Dramas;16.10.2020
8714;Movie;Welcome 2 Karachi;Arshad Warsi, Jacky Bhagnani, Lauren Gottlieb;India;2015;TV-MA;124 min;Comedies, International Movies;01.03.2018
1845;Movie;A Babysitter's Guide to Monster Hunting;Tamara Smart, Oona Laurence, Tom Felton;United States;2020;TV-PG;99 min;Children & Family Movies;15.10.2020
1846;Movie;Batman: The Killing Joke;Kevin Conroy, Mark Hamill, Tara Strong;United States;2016;R;77 min;Action & Adventure;15.10.2020
1847;Movie;El-Khawaga's Dilemma;Hassan El Raddad, Mohamed Lotfy, Hana El Zahed;Egypt;2018;TV-14;94 min;Action & Adventure, Comedies, International Movies;15.10.2020
1848;TV Show;Fireman Sam;Steven Kynman, David Carling, Tegwen Tucker;United Kingdom;2018;TV-Y;4 Seasons;British TV Shows, Kids' TV;15.10.2020
1849;TV Show;Half & Half;Rachel True, Essence Atkins, Telma Hopkins;United States;2005;TV-14;4 Seasons;TV Comedies;15.10.2020
1850;Movie;Kartini: Princess of Java;Dian Sastrowardoyo, Ayushita, Acha Septriasa;Indonesia;2017;TV-PG;118 min;Dramas, International Movies;15.10.2020
1851;Movie;Love Like the Falling Rain;Jefri Nichol, Aurora Ribero, Axel Matthew;Indonesia;2020;TV-14;87 min;Dramas, International Movies, Romantic Movies;15.10.2020
1852;TV Show;One on One;Flex Alexander, Kyla Pratt, Kelly Perine;United States;2006;TV-14;5 Seasons;TV Comedies, Teen TV Shows;15.10.2020
1853;TV Show;Power Rangers Beast Morphers;Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski;United States;2020;TV-Y7;2 Seasons;Kids' TV;15.10.2020
1855;TV Show;Social Distance;Danielle Brooks, Oscar Nuñez, Mike Colter;United States;2020;TV-MA;1 Season;TV Comedies, TV Dramas;15.10.2020
1856;Movie;A Choo;Kai Ko, Ariel Lin, Darren Wang;Taiwan;2020;TV-14;101 min;Action & Adventure, International Movies, Romantic Movies;14.10.2020
1859;Movie;Fida;Fardeen Khan, Kareena Kapoor, Shahid Kapoor;India;2004;TV-14;117 min;International Movies, Romantic Movies, Thrillers;13.10.2020
1860;Movie;Octonauts & the Great Barrier Reef;Simon Greenall, Rob Rackstraw, Jo Wyatt;United Kingdom;2020;TV-Y;47 min;Children & Family Movies;13.10.2020
767;Movie;Alan Saldaña: Locked Up;Alan Saldaña;Mexico;2021;TV-MA;49 min;Stand-Up Comedy;03.06.2021
786;TV Show;Cocomelon;NULL;United States;2021;TV-Y;3 Seasons;Kids' TV;02.06.2021
791;Movie;Dream/Killer;Bill Ferguson, Ryan Ferguson;United States;2015;TV-MA;109 min;Documentaries;02.06.2021
778;Movie;And Then Came Lola;Ashleigh Sumner, Jill Bennett, Cathy DeBuono;United States;2009;TV-MA;70 min;Comedies, Independent Movies, LGBTQ Movies;02.06.2021
4191;Movie;Pandigai;Kreshna, Anandhi, Saravanan;India;2017;TV-MA;125 min;Action & Adventure, Dramas, International Movies;15.01.2019
1861;TV Show;The Cabin with Bert Kreischer;Bert Kreischer, Anthony Anderson, Caitlyn Jenner;United States;2020;TV-MA;1 Season;Reality TV, TV Comedies;13.10.2020
1862;Movie;Dil;Aamir Khan, Madhuri Dixit, Saeed Jaffrey;India;1990;TV-14;165 min;Comedies, Dramas, International Movies;12.10.2020
1863;Movie;Disco Dancer;Mithun Chakraborty, Kim, Kalpana Iyer;India;1982;TV-14;134 min;Cult Movies, Dramas, International Movies;12.10.2020
1864;Movie;Hunterrr;Gulshan Devaiah, Radhika Apte, Sai Tamhankar;India;2015;TV-MA;140 min;Comedies, International Movies, Romantic Movies;12.10.2020
1865;TV Show;Kipo and the Age of Wonderbeasts;Karen Fukuhara, Sydney Mikayla, Deon Cole;United States;2020;TV-Y7;3 Seasons;Kids' TV, TV Comedies;12.10.2020
1866;Movie;Phir Hera Pheri;Akshay Kumar, Sunil Shetty, Paresh Rawal;India;2006;TV-14;150 min;Comedies, International Movies;12.10.2020
1867;Movie;The Legend of Bhagat Singh;Ajay Devgn, Sushant Singh, D. Santosh;India;2002;TV-14;156 min;Dramas, International Movies;12.10.2020
